household id;household area [m2];Number of inhabitants;PV system size [kWp];Battery system [kWh];Ventilation system
3;140;2;;;
4;160;2;;;
5;160;3;;;Yes
6;140;1;;;
7;150;2;;;
8;160;2;;;
9;195;4;;;Yes
10;135;3;;;
11;230;4;;;
12;112;2;;;
13;130;2;2,5;;
14;150;2;;;
15;120;1;4,5;4,3;
16;136;4;;;Yes
17;200;2;;;
18;87;2;;;
19;203;2;;;
20;220;4;;;
21;110;1;;;
22;117;4;;;
23;113;2;;;
24;120;4;;;
25;100;3;;;
26;120;1;0,75;;
27;110;1;;;
28;145;3;;;
29;104;2;;;
30;;3;;;
31;135;2;;;
32;160;4;;;
33;111;2;4;;
34;110;1;;;
35;100;3;;;
36;108;2;;;
37;199;2;;;
38;190;2;;;
39;135;2;;;
40;120;2;;;
